Bauwerk,Bauwerkbezeichnung,Ebene,Raumnr,Nutzungsartbez.,Nutzername,Kostentraeger,GueltigVon,GueltigBis
151.02,Luftpostleitstelle,G5,801,AUFZUGSSCHACHT,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,802,AUFZUGSSCHACHT,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,803,INSTALLATIONSSCHACHT,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,810,INSTALLATIONSSCHACHT,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,812,INSTALLATIONSSCHACHT,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,814,INSTALLATIONSSCHACHT,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,815,INSTALLATIONSSCHACHT,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,820,INSTALLATIONSSCHACHT,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,822,INSTALLATIONSSCHACHT,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,824,INSTALLATIONSSCHACHT,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,825,INSTALLATIONSSCHACHT,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,836,INSTALLATIONSSCHACHT,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,839,INSTALLATIONSSCHACHT,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,840,INSTALLATIONSSCHACHT,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,841,AUFZUGSSCHACHT,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,842,AUFZUGSSCHACHT,F-RE,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,843,INSTALLATIONSSCHACHT,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,846,INSTALLATIONSSCHACHT,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G5,849,INSTALLATIONSSCHACHT,F-TEGF,F-RE,15/02/01,31/12/99
151.02,Luftpostleitstelle,G6,306,BÜRORAUM,F-ITEG,F-ITEG,29/03/03,31/12/99
151.02,Luftpostleitstelle,G6,310,BÜRORAUM,F-ITEG,F-ITEG,29/03/03,31/12/99
151.02,Luftpostleitstelle,G5,327,FUNKRAUM,F-ITEC,F-ITEC,25/03/03,31/12/99
151.02,Luftpostleitstelle,G5,103,BÜRORAUM,F-ITK,F-ITK,25/03/03,31/12/99
151.02,Luftpostleitstelle,G5,126,BÜRORAUM,F-ITS,F-ITS,25/03/03,31/12/99
151.02,Luftpostleitstelle,G6,430,BÜRORAUM,F-ITES,F-ITES,05/08/02,31/12/99
151.02,Luftpostleitstelle,G6,131,BÜRORAUM,F-IT,F-IT,05/08/02,31/12/99
151.02,Luftpostleitstelle,G5,133,BÜRORAUM,F-ITS,F-ITS,25/03/03,31/12/99
151.02,Luftpostleitstelle,G5,129,BÜRORAUM,F-ITK,F-ITK,25/03/03,31/12/99
151.02,Luftpostleitstelle,G5,130,BÜRORAUM,F-IT,F-IT,25/03/03,31/12/99
151.02,Luftpostleitstelle,G5,131,BÜRORAUM,F-IT,F-IT,25/03/03,31/12/99
151.02,Luftpostleitstelle,G6,133,BÜRORAUM,F-ITK,F-ITK,05/08/02,31/12/99
151.02,Luftpostleitstelle,G6,302,BÜRORAUM,F-ITEG,F-ITEG,19/08/02,31/12/99
151.02,Luftpostleitstelle,G5,307,BÜRORAUM,F-ITED,F-ITED,25/03/03,31/12/99
151.02,Luftpostleitstelle,G5,319,BÜRORAUM,F-ITED,F-ITED,25/03/03,31/12/99
151.02,Luftpostleitstelle,G5,321,BÜRORAUM,F-ITED,F-ITED,25/03/03,31/12/99
151.02,Luftpostleitstelle,G5,325,BÜRORAUM,F-ITEC,F-ITEC,25/03/03,31/12/99
151.02,Luftpostleitstelle,G6,130,BÜRORAUM,F-IT,F-IT,01/07/04,31/12/99
151.02,Luftpostleitstelle,G5,234,BÜRORAUM,F-FMG,F-FMG,25/03/03,31/12/99
151.02,Luftpostleitstelle,G5,331,TEEKÜCHE,F-ITEC,F-ITEC,12/01/15,31/12/99
151.02,Luftpostleitstelle,G5,104,BÜRORAUM,F-ITK,F-ITK,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,110,BÜRORAUM,F-ITS,F-ITS,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,108,BÜRORAUM,F-ITS,F-ITS,01/03/08,31/12/99
151.02,Luftpostleitstelle,G5,102,BÜRORAUM,F-ITS,F-ITS,01/03/08,31/12/99
151.02,Luftpostleitstelle,G6,103,BÜRORAUM,F-ITK,F-ITK,01/03/08,31/12/99
